STT	Tiếng Trung	Pinyin	Từ loại	Dịch nghĩa
295	钱包	qiánbāo	danh từ	ví tiền
296	请	qǐng	động từ	mời, xin
297	请假	qǐng//jià		xin nghỉ
298	请进	qǐng jìn		mời vào
299	请问	qǐngwin	động từ	xin hỏi
300	请坐	qǐng zuò		mời ngồi
301	球	qiú	danh từ	quả bóng, hình cầu, quả, nắm
302	去	qù	động từ	đi
303	去年	qùnián	danh từ	năm ngoái
304	热	ri	tính từ / động từ	nóng, nóng lòng / làm nóng, hâm nóng
305	人	rin	danh từ	người
306	认识	rinshi	động từ / danh từ	biết, quen biết, nhận ra / nhận thức
307	认真	rinzhin	tính từ	nghiêm túc, chăm chỉ, cẩn thận
308	日	rì	danh từ	ngày
309	日期	rìqī	danh từ	ngày tháng
310	肉	ròu	danh từ	thịt
311	三	sān	số từ	số 3
312	山	shān	danh từ	núi
313	商场	shāngchǎng	danh từ	trung tâm thương mại
314	商店	shāngdiàn	danh từ	cửa hàng
315	上	shàng	danh từ / động từ	trên, bên trên / lên, đi lên, đến, ra, vào (ca, học)
316	上班	shàng//bān		đi làm
317	上边	shàngbian	danh từ	phía trên, bên trên
318	上车	shàng chi		lên xe
319	上次	shàng cì		lần trước
320	上课	shàng//ki		lên lớp, vào học, đi học
321	上网	shàng//wǎng		lên mạng, lướt mạng
322	上午	shàngwǔ	danh từ	buổi sáng
323	上学	shàng//xui		đến trường, đi học
324	少	shǎo	tính từ / động từ	ít / thiếu, nợ, bớt, mất
325	谁	shii/shuí	đại từ	ai
326	身上	shinshang	danh từ	trên người, bên mình, trong người
327	身体	shintǐ	danh từ	cơ thể, thân thể
328	什么	shinme	đại từ	cái gì
329	生病	shing//bìng		bị bệnh
330	生气	shing//qì		tức giận, nổi giận
331	生日	shingrì	danh từ	sinh nhật
332	十	shí	số từ	số 10
333	时候	shíhou	danh từ	lúc, khi
334	时间	shíjiān	danh từ	thời gian
335	事	shì	danh từ	việc, chuyện
336	试	shì	động từ	thử
337	是	shì	động từ	là
338	是不是	shì bu shì		phải không
339	手	shǒu	danh từ	tay
340	手机	shǒujī	danh từ	điện thoại di động
341	书	shū	danh từ	sách
342	书包	shūbāo	danh từ	túi sách, cặp sách
343	书店	shūdiàn	danh từ	hiệu sách
344	树	shù	danh từ	cây
345	水	shuǐ	danh từ	nước
346	水果	shuǐguǒ	danh từ	hoa quả, trái cây
347	睡	shuì	động từ	ngủ, nằm dài
348	睡觉	shuì//jiào		ngủ, đi ngủ, ngủ nghê
349	说	shuō	động từ	nói
350	说话	shuō//huà		nói chuyện
351	四	sì	số từ	số 4
352	送	sòng	động từ	đưa, giao, tặng, tiễn
353	岁	suì	lượng từ	tuổi
354	他	tā	đại từ	anh ấy, ông ấy, cậu ấy
355	他们	tāmen	đại từ	họ (nam)
356	他们	tā	đại từ	cô ấy, bà ấy, chị ấy
357	们	tāmen	đại từ	họ (nữ)
358	太	tài	phó từ	quá, rất
359	天	tiān	danh từ / lượng từ	trời, thời gian / ngày
360	天气	tiānqì	danh từ	thời tiết
361	听	tīng	động từ	nghe
362	听到	tīngdào		nghe, nghe thấy, nghe được
363	听见	tīng//jiàn		nghe, nghe thấy
364	听写	tīngxǐe	động từ	nghe viết, nghe chép chính tả
365	同学	tóngxui	danh từ	bạn học
366	图书馆	túshūguǎn	danh từ	thư viện
367	外	wài	danh từ	ngoài, bên ngoài
368	外边	wàibian	danh từ	bên ngoài
369	外国	wàiguó	danh từ	nước ngoài
370	外语	wàiyǔ	danh từ	ngoại ngữ
371	玩儿	wánr	động từ	chơi
372	晚	wǎn	tính từ	muộn, trễ
373	晚饭	wǎnfàn	danh từ	bữa tối
374	晚上	wǎnshang	danh từ	buổi tối
375	网上	wǎng shang		trực tuyến, trên mạng
376	网友	wǎngyǒu	danh từ	bạn trên mạng
377	忘	wàng	động từ	quên, bỏ quên
378	忘记	wàngjì	động từ	quên, không nhớ, quên khuấy
379	问	win	động từ	hỏi
380	我	wǒ	đại từ	tôi
381	我们	wǒmen	đại từ	chúng tôi
382	五	wǔ	số từ	số 5
383	午饭	wǔfàn	danh từ	bữa trưa
384	西	xī	danh từ	phía tây
385	西边	xībian	danh từ	phía tây, hướng tây
386	洗	xǐ	động từ	rửa, giặt
387	洗手间	xǐshǒujiān	danh từ	nhà vệ sinh
388	喜欢	xǐhuan	động từ	thích
389	下	xià	danh từ / động từ	"dưới, phía dưới / sau / trong (một phạm vi,
điều kiện nào đó) / xuống, tan (kết thúc công việc) / đủ (biểu thị
có đủ không gian chứa đựng)"
390	下班	xià//bān		tan làm
391	下边	xiàbian	danh từ	phía dưới
392	下车	xià chi		xuống xe
393	下次	xià cì		lần sau, lần tới
394	下课	xià//ki		tan học
395	下午	xiàwǔ	danh từ	buổi chiều
396	下雨	xià yǔ		mưa
397	先	xiān	phó từ	trước tiên
398	先生	xiānsheng	danh từ	ông, ngài, thầy
399	现在	xiànzài	danh từ	bây giờ
400	想	xiǎng	động từ	muốn, nghĩ, nhớ
401	小	xiǎo	tính từ	nhỏ
402	小孩儿	xiǎoháir	danh từ	trẻ con
403	小姐	xiǎojii	danh từ	cô, tiểu thư
404	小朋友	xiǎopingyǒu	danh từ	trẻ em, bạn nhỏ
405	小时	xiǎoshí	danh từ	giờ
406	小学	xiǎoxui	danh từ	tiểu học
407	小学生	xiǎoxuishing	danh từ	học sinh tiểu học
408	笑	xiào	động từ	cười
409	写	xii	động từ	viết
410	谢谢	xiixie	động từ	cảm ơn
411	新	xīn	tính từ	mới
412	新年	xīnnián	danh từ	năm mới
413	星期	xīngqī	danh từ	tuần lễ, thứ
414	星期日	xīngqīrì	danh từ	chủ nhật
415	星期天	xīngqītiān	danh từ	chủ nhật
416	行	xíng	động từ / tính từ	được, ổn, có thể / giỏi, tốt, ổn
417	休息	xiūxi	động từ	nghỉ ngơi
418	学	xui	động từ	học
419	学生	xui·shing	danh từ	học sinh
420	学习	xuixí	động từ	học tập
421	学校	xuixiào	danh từ	trường học
422	学院	xuiyuàn	danh từ	học viện, viện
423	要	yào	động từ	muốn, phải, cần
424	爷爷	yiye	danh từ	ông nội
425	也	yi	phó từ	cũng
426	页	yi	lượng từ	trang (giấy)
427	一	yī	số từ	số 1
428	衣服	yīfu	danh từ	quần áo
429	医生	yīshing	danh từ	bác sĩ
430	医院	yīyuàn	danh từ	bệnh viện
431	一半	yíbàn	số từ	một nửa
432	一会儿	yíhuìr		một lúc, lát nữa
433	一块儿	yíkuàir	danh từ / phó từ	cùng nơi / cùng, cùng nhau
434	一下儿	yíxiàr		một chút, một xíu (thời gian ngắn)
435	一样	yíyàng	tính từ	giống nhau
436	一边	yìbiān	danh từ / phó từ	mặt bên, một mặt, bên cạnh / vừa, vừa ... vừa
437	一点儿	yìdiǎnr		chút xíu, chút ít
438	一起	yìqǐ	phó từ / danh từ	cùng, cùng nhau làm gì / tổng cộng / ở cùng một nơi, một chỗ
439	一些	yìxii		mấy, một vài, một số
440	用	yòng	động từ	dùng
441	有	yǒu	động từ	có
442	有的	yǒude	đại từ	có loại, có người, có cái, một số, có những
443	有名	yǒu//míng		nổi tiếng
444	有时	yǒushí		đôi khi, có lúc, thỉnh thoảng
444	有时候	yǒushíhou	phó từ	có lúc, có thời gian
445	有(一些)	yǒu(yì)xii	đại từ	có một số
446	有用	yǒuyòng	động từ	có ích
447	右	yòu	danh từ	bên phải
448	右边	yòubian	danh từ	phía bên phải
449	雨	yǔ	danh từ	mưa
450	元	yuán	lượng từ	đồng (đơn vị tiền tệ)
451	远	yuǎn	tính từ	xa
452	月	yui	danh từ	tháng
453	再	zài	phó từ	lại, nữa
454	再见	zàijiàn	động từ	tạm biệt
455	在	zài	động từ / giới từ / phó từ	"sống, ở / đang, ở, vào (ở đâu, thời gian nào, điều kiện
nào) / đang (làm gì đó)"
456	在家	zàijiā	động từ	ở nhà
457	早	zǎo	tính từ	sớm (so với thời gian quy định)
458	早饭	zǎofàn	danh từ	bữa sáng
459	早上	zǎoshang	danh từ	buổi sáng
460	怎么	zinme	đại từ	như thế nào
461	站	zhàn	danh từ	trạm, ga
462	找	zhǎo	động từ	tìm
463	找到	zhǎodào		tìm thấy
464	这	zhi	đại từ	này
465	这边	zhibiān	đại từ	bên này
466	这里	zhi·lǐ	đại từ	ở đây, chỗ này
467	这儿	zhir	đại từ	ở đây, chỗ này
468	这些	zhixii	đại từ	những cái này
469	着	zhe	trợ từ	"đang (đặt sau động từ chỉ sự việc đang tiến
hành/biểu thị sự tiếp tục của trạng thái)"
470	真	zhin	phó từ / tính từ	quá, thật, thực sự / thật, thật sự, chính xác
471	真的	zhin de		thật sự
472	正	zhing	phó từ	đang, vừa, đúng, chính
473	正在	zhingzài	phó từ	đang, vẫn đang
474	知道	zhī·dào	động từ	biết, hiểu, hiểu rõ
475	知识	zhīshi	danh từ	tri thức, kiến thức, sự hiểu biết
476	中	zhōng	danh từ	giữa, trung tâm
477	中国	Zhōngguó	danh từ	Trung Quốc
478	中间	zhōngjiān	danh từ	trong, trong số, trung tâm
479	中文	Zhōngwin	danh từ	tiếng Trung
480	中午	zhōngwǔ	danh từ	buổi trưa
481	中学	zhōngxui	danh từ	trường trung học
482	中学生	zhōngxuishing	danh từ	học sinh trung học
483	重	zhòng	tính từ	nặng, quan trọng, thận trọng
484	重要	zhòngyào	tính từ	quan trọng, trọng yếu
485	住	zhù	động từ	ở / dừng / đủ sức / chắc
486	准备	zhǔnbii	động từ	chuẩn bị
487	桌子	zhuōzi	danh từ	bàn
488	字	zì	danh từ	từ, chữ, văn tự
489	子(桌子)	zi (zhuōzi)	hậu tố	"thêm vào sau danh từ, động từ, tính từ khác
để tạo thành một danh từ"
490	走	zǒu	động từ	đi, đi bộ, rời khỏi
491	走路	zǒu//lù		đi bộ
492	最	zuì	phó từ	nhất
493	最好	zuìhǎo	phó từ	tốt nhất
494	最后	zuìhòu	danh từ	cuối cùng, sau cùng
495	昨天	zuótiān	danh từ	hôm qua
496	左	zuǒ	danh từ	bên trái
497	左边	zuǒbian	danh từ	phía bên trái
498	坐	zuò	động từ	ngồi
499	坐下	zuòxia		ngồi xuống
500	做	zuò	động từ	làm / chế tạo / trở thành
﻿
